id;TemaPrioritario;FONTE;CodiceCategoria;CATEGORIA;UNITA;FinProvincia;FinRegione;TotSpese
688;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;15720;15720;47160
729;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;6730;6730;13460
730;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;23953;23953;47906,45
761;11;Agenda digitale;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;44898;44898;131219
776;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;2317,5;2317,5;4635
779;5;Compet. per le imprese;21;SERVIZI ALLE IMPRESE INDUSTRIALI;ASSISI;2527,5;2527,5;5055
781;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;5826;5826;17478
784;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;36300;36300;106400
785;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;67050;67050;312900
788;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;61365;61365;286370
833;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;2562,5;2562,5;7687,5
878;5;Compet. per le imprese;25;SERVIZI ALLE IMPRESE DEL COMMERCIO;ASSISI;11495,68;11495,67;22991,35
883;5;Compet. per le imprese;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;6000;6000;12000
894;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;100000;100000;600000
895;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;3150;3150;31950
896;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;7500;7500;15000
900;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;75543,13;75543,13;453258,74
901;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;8928;8928;26784
902;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;4732,88;4732,88;9465,74
915;11;Agenda digitale;18;TECNOLOGIE INFORMATICHE;ASSISI;15246,28;15246,28;45738,84
923;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;100000;100000;600000
924;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;3240;3240;12720
925;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;9146,25;9146,25;18292,5
935;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;8084,72;8084,72;47724,82
936;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;100000;100000;600000
937;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;16025;16025;32050
967;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;90750;90750;423500
968;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;46747,5;46747,5;137205
969;7;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;77278;77278;360631,8
970;4;Ricerca e innovazione;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;57435;57435;213330
1033;11;Agenda digitale;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;3135,01;3135,01;9879,98
1034;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;96964,99;96964,99;606070,02
1035;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;20000;20000;40000
1043;43;Energia e efficienza energetica;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;250000;250000;1501996
1076;43;Energia e efficienza energetica;39;OPERE, IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;ASSISI;13118,35;13118,34;78710,08
1086;5;Compet. per le imprese;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;18325;18325;36650
1087;7;Ricerca e innovazione;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;ASSISI;52328,75;52328,75;313972,5
