Cartella;IP;GravitaIP;EtaAnni;MORTE;MC;SURVIVALTIME;Terapia;Antiaritmico;PesoKg;VTricuspide;AsxAo;OndaE;OndaEA;FrazEspuls;FrazAccorc;EDVI;ESVI;Allodiast;Allosist
N1103;NO;0;11,76;1;1;1533;2;NO;7,5;1,29;1,89;;;73;41;116,63;31,84;1,85;1,09
M0601;NO;0;14,08;0;;0;2;NO;10;1,72;2,76;,97;2,31;58;30;170,15;71,49;2,17;1,53
A0805;NO;0;13,75;1;1;563;3;NO;6;1,77;2,32;;;71;39;94,4;27,34;1,7;1,04
U1001;NO;0;11,64;1;0;952;4;NO;5,2;1,81;2,11;1,15;1,29;76;43;129,33;31,43;1,94;1,1
C0715;NO;0;11,38;1;1;1309;3;SI;29;1,91;1,6;1,14;1,75;55;28;115,35;52,4;1,81;1,3
M0719;NO;0;11,58;1;1;487;3;NO;20;1,93;2,09;1,38;;78;48;252,43;55,32;2,54;1,33
F0610;NO;0;10,94;0;;72;3;NO;9,7;1,97;2,4;1,51;1,76;81;49;138,08;26,8;1,97;1,02
C0836;NO;0;13,25;0;;0;3;NO;9,7;2,05;2,89;1,69;1,11;86;54;167,7;23,51;2,16;,98
R0803;NO;0;11,07;1;0;1073;2;NO;26;2,09;1,37;,78;1,22;70;40;90,68;26,68;1,63;,99
M0907;NO;0;12,45;0;;51;2;NO;7,6;2,14;2,45;,81;1;71;38;66,24;19,44;1,47;,9
C0722;NO;0;1,73;1;1;1376;2;NO;2,5;2,17;2,01;1,02;1,38;42;46;103,58;21,38;1,8;,98
F1115;NO;0;11,79;0;;0;2;NO;8,3;2,19;1,79;,48;,74;85;52;163,28;17,42;1,88;,89
M0709;NO;0;13,28;1;1;318;2;NO;8;2,22;1,91;1,11;,9;30;33;133,8;52,71;1,95;1,33
V0903;NO;0;10,89;0;;0;3;NO;4;2,22;2,24;,96;1,08;87;56;139,13;17,61;2,01;,89
M0613;NO;0;12,38;0;;0;2;NO;3,5;2,24;1,78;;;58;29;143,67;60,88;2,04;1,45
V1505;NO;0;15,47;0;;589;3;NO;3,8;2,28;2,64;;;76;44;156,87;37,81;2,09;1,18
T1407;NO;0;13,54;0;;745;4;NO;6;2,32;2,24;1,33;1,17;90;59;124,89;12,64;1,91;,77
C1014;NO;0;16,47;1;0;1220;2;NO;26,7;2,32;2,19;1,23;1,08;71;39;190,1;42,57;2,03;1,23
A0608;NO;0;16,83;1;1;278;2;NO;7,35;2,32;2,22;1,51;2,04;67;37;200,94;66,27;2,31;1,45
V1602;NO;0;12,91;0;;357;4;NO;5,8;2,35;1,48;,97;1,07;70;38;90,9;27,16;1,68;1,04
A1413;NO;0;12,58;0;;799;2;NO;4,7;2,38;1,61;;;85;53;125,89;19,99;1,92;,9
C1131;NO;0;10,07;1;0;300;2;NO;18;2,43;1,85;;;50;25;110,93;54,99;1,79;1,33
M0924;NO;0;11,11;1;1;214;3;NO;25;2,44;1,98;;;63;34;256,89;73,22;2,27;1,49
K1401;NO;0;11,82;0;;1044;2;NO;4,4;2,46;1,84;1,25;1,39;83;50;81,09;14,66;1,61;,8
D0812;NO;0;12,91;1;0;128;2;NO;16;2,48;2,08;1,57;1,51;81;50;168,36;31,59;2,14;1,07
D0607;NO;0;10,73;1;1;345;2;NO;13;2,51;1,56;1;1,27;68;37;80,1;25,89;1,57;,99
S1202;NO;0;12,13;1;1;380;3;NO;13;2,52;2,42;1,28;1,15;67;37;135,62;44,95;1,95;1,24
B1511;NO;0;14,24;1;1;257;3;NO;8,3;2,54;2,27;;;93;64;102,76;7,36;1,75;,62
G1508;NO;0;15,78;1;0;21;3;NO;6,5;2,54;1,82;;;79;46;75,62;15,66;1,55;,84
C0815;NO;0;8,27;1;1;184;3;NO;18,3;2,55;2,23;1,19;,74;76;44;109,71;26,43;1,78;,99
C0608;NO;0;14,12;0;;1551;2;NO;3;2,59;2,84;1,19;1,63;76;44;178,91;43,46;2,21;1,25
C0714;NO;0;12,41;1;1;158;2;NO;5;2,59;2,26;1,38;2,94;82;51;188,84;33,31;2,26;1,11
S0816;NO;0;11,49;1;0;450;3;NO;4,45;2,63;1,69;;;91;61;132,7;11,97;1,97;,77
F0605;NO;0;10,36;0;;0;4;NO;6,5;2,63;2,61;;;80;48;207,27;41,19;2,35;1,22
P1005;NO;0;12,08;1;0;1422;3;NO;9,3;2,63;1,71;;;73;42;186,49;35,87;1,95;1,12
C0641;NO;0;14,83;1;0;471;2;NO;8,5;2,63;2,83;;;68;37;163,92;52,47;2,13;1,33
S1403;NO;0;2,73;0;;976;3;NO;25;2,66;2,22;1,52;1,81;83;50;159,51;29,9;2,12;1,05
B1604;NO;0;14,51;0;;0;2;NO;3,8;2,66;1,77;;;86;54;116,49;15,81;1,87;,86
R0709;NO;0;8,4;1;1;512;3;NO;4,65;2,67;3,58;1,92;;73;42;256,41;69,07;2,58;1,51
P0614;NO;0;13,42;1;1;412;2;NO;10,7;2,68;2,22;1,81;1,14;66;36;129,3;44,26;1,92;1,24
B1110;NO;0;10,47;1;1;273;3;SI;21;2,7;3,5;;;73;43;238;65,05;2,48;1,43
C0933;NO;0;12,43;1;1;224;2;NO;3,9;2,71;1,92;1,03;1,06;70;38;136,97;41,48;2;1,24
B0623;NO;0;12,75;0;;828;3;NO;10,7;2,71;1,91;1,4;1,05;58;30;141,61;63,44;1,99;1,39
M1514;NO;0;13,3;1;0;178;3;NO;9,2;2,71;2,29;;;88;58;136,07;15,79;1,96;,83
F0704;NO;0;10,38;1;1;721;3;NO;6;2,71;2,24;1,44;1,62;81;49;150,58;28,56;2,06;1,06
C0710;NO;0;13,37;0;;108;2;NO;13,7;2,75;1,95;,73;,9;51;25;73,45;36,39;1,51;1,13
B0921;NO;0;11,33;0;;0;2;NO;8,7;2,75;2,15;1,03;,85;72;41;142,16;39,4;2;1,19
L0706;NO;0;14,29;1;1;75;2;NO;7;2,77;2,13;1,46;1,26;78;46;144,38;32,08;2,02;1,1
S1104;NO;0;8,17;0;;119;2;NO;24;2,79;2,07;1,12;1,06;69;39;134,1;41,88;1,93;1,19
B0618;NO;0;9,8;1;0;113;2;NO;19,5;2,79;2,15;1,17;1,07;83;52;141,98;24,52;1,98;,96
B0601;NO;0;13,04;1;0;370;2;NO;11,9;2,79;1,68;;;65;35;123,41;42,89;1,88;1,22
B1026;SI;1;12,84;1;1;719;3;NO;5,8;2,81;2,78;1,41;2,17;59;31;162,39;52,22;1,9;1,3
B1026;SI;1;14,25;1;1;207;4;SI;8;2,81;4,4;1,8;2;62;33;180,3;64,01;2;1,42
B0620;SI;1;14,77;1;1;59;2;NO;7,5;2,85;2,02;1,19;2,2;88;57;143,47;16,94;2,01;,86
C0924;SI;1;11,92;1;1;146;2;NO;12,5;2,87;2,2;,62;,86;79;46;87,7;18,49;1,63;,87
A1017;SI;1;13,96;1;1;236;3;SI;8;2,9;2,29;1,47;1,29;80;48;265,06;37,14;2,24;1,16
A0716;SI;1;12,05;1;1;60;2;NO;10,5;2,9;2,07;1,92;3;79;47;158,37;33,8;2,09;1,11
D1414;SI;1;10,54;1;0;131;4;NO;3,9;2,93;1,37;;;88;54;27,14;3,83;1,05;,49
P0601;SI;1;14,25;1;0;204;2;NO;3,7;2,93;1,78;,65;,66;;;65,25;25,4;1,48;1,03
P1115;SI;1;6,74;0;;6;3;NO;36,5;2,99;2;,49;,62;58;31;101,26;42,78;1,71;1,19
P1321;SI;1;13,65;1;1;207;2;SI;48;2,99;2,36;;;54;29;218,77;100,16;2,39;1,7
L1303;SI;1;13,91;1;0;625;2;NO;20,7;2,99;1,63;1,07;1,41;65;35;106,23;37,08;1,75;1,13
N1304;SI;1;12,49;1;1;245;3;NO;11,5;2,99;2,9;1,68;1,47;70;39;175,93;53,57;2,18;1,32
G1202;SI;1;11,28;1;1;531;3;NO;4,5;3;1,71;1,45;2,13;76;45;198,76;42,67;2,3;1,22
V0601;SI;1;4,91;1;1;843;2;NO;8;3,04;2,53;,77;1,17;82;50;141,04;24,58;2;,99
F1311;SI;1;14,3;1;1;573;4;NO;17;3,04;1,69;1,49;1,99;82;51;154,89;27,77;2,06;1,01
B0923;SI;1;1,22;1;1;408;2;NO;16;3,04;1,8;;;64;34;202,15;72,89;2,33;1,52
S0702;SI;1;9,7;1;1;1833;2;NO;6,5;3,04;2,07;;;87;56;121,05;15,38;1,88;,83
C1428;SI;1;5,57;0;;913;3;NO;20;3,15;2,1;1,83;1,78;68;38;190,85;64,56;2,27;1,42
B0602;SI;1;9,97;1;1;665;2;NO;7;3,16;2,04;,8;1,25;67;36;88,06;28,82;1,65;1,06
G1512;SI;1;13,46;1;1;606;3;NO;26;3,19;2,65;2,8;1,41;50;26;226,14;111,97;2,43;1,79
T0906;SI;1;12,55;0;;0;2;NO;5;3,2;2,11;1,19;1,31;72;39;77,44;21,85;1,58;,96
P0904;SI;1;12,66;1;1;572;3;NO;6;3,23;2,52;1,48;2,21;79;100;226,38;48,3;2,44;1,3
P1118;SI;1;12,03;1;1;724;2;NO;14;3,26;1,88;,82;,86;84;52;118,27;19,38;1,84;,88
B1506;SI;1;10,93;0;;991;4;NO;6;3,32;;,76;;74;42;123,02;31,95;1,9;1,1
b1014;SI;1;11,66;0;;0;3;NO;9;3,35;2,67;;;84;52;205,62;22,4;1,99;,95
B0624;SI;1;16,19;1;1;72;3;NO;6,3;3,4;2,28;;;82;50;145,74;26,46;2,03;1,02
U0702;SI;1;15,15;1;;261;2;NO;3,9;3,41;2,21;1,11;1,46;77;46;186,63;42,05;2,24;1,21
P1509;SI;1;9,3;0;;583;4;NO;18,5;3,43;1,79;;;72;41;174,63;48,03;2,17;1,27
C0721;SI;1;10,73;1;1;680;2;NO;15;3,49;1,99;,83;1,36;66;36;96,21;32,52;1,69;1,08
C1013;SI;2;10,44;0;;23;4;NO;16;3,5;3,48;1,52;2,76;77;46;155,01;35,18;2,06;1,12
F0707;SI;2;10,8;0;;0;3;NO;11;3,5;2,17;,55;,68;66;35;71,79;24,32;1,5;,97
F0603;SI;2;13,4;1;1;248;3;SI;14,5;3,59;3,17;1,8;4,19;63;34;176,34;65,29;2,18;1,44
